Combined list of locations,,,
S.No.,Location Name,Latitude,Longitude
1,Mukarba Chowk,28.7349204,77.1558806
2,Kashmere Gate Metro Station,28.6688573,77.2273032
3,Intersection at GT Libaspur Road,28.7528909,77.149688
4,Punjabi Bagh,28.6737706,77.1400419
5,Ring Road Hanuman Setu,28.665181,77.234331
6,Dhansa Bus Stand,28.6118133,76.9785245
7,Peeragarhi Chowk,28.6795509,77.0946372
8,Britannia Chowk,28.6831959,77.1463533
9,Intersection at Outer Ring Road- Wazirabad Road,28.7111219,77.2267852
10,Exit from Signature bridge to Outer Ring Road,28.7032981,77.2274739
11,Madhuban Chowk,28.7040274,77.1310731
12,Mukundpur Chowk,28.732228,77.183193
13,Wazirpur Industrial Area,28.7026443,77.166836
14,Ghazipur Mandi,28.6298371,77.3246757
15,Khajoori Khas Chowk,28.7046536,77.2559106
16,Azadpur Mandi,28.7135361,77.1731152
17,Bhalswa Chowk,28.7375252,77.167325
18,Netaji Subhash Place Metro Station,28.6930218,77.1539681
19,SDM Court Seelampur,28.671352,77.2690529
20,Akshardham Junction,28.6134931,77.2829953
21,Powerhouse Pitampura,28.7086331,77.1351707
22,Mayapuri Chowk,28.6374104,77.130033
23,Anand Vihar Metro,28.645557,77.317234
24,Gokulpuri Flyover,28.7015979,77.286469
25,ITO Chowk,28.627725,77.241382
26,Ashram Flyover,28.5725268,77.2582358
27,Budhpur NH44,28.7822673,77.1413251
28,Khampur NH44,28.8245557,77.1320342
29,Madipur Metro Station,28.6763967,77.1195593
30,Dhaula Kuan Flyover,28.5950601,77.1658557
31,North Avenue Park,28.623916,77.200081
32,Keshav Chowk,28.672956,77.280263
33,Nirankari Chowk,28.72853,77.198043
34,Moolchand Intersection,28.56548,77.234115
35,Shivaji Park Metro Station,28.675029,77.1300574
36,Vikaspuri Flyover- Keshopur,28.650234,77.085707
37,Shashtri Park Flyover,28.6726782,77.2558174
38,NH44 Sarita Vihar Metro Depot,28.528957,77.288426
39,Uttam Nagar Terminal,28.6256939,77.0674203
40,Dabri Mor Flyover,28.61342,77.08676
41,JNU Old Campus,28.5515713,77.1822138
42,Bhikaji Cama Palace Metro Station,28.5698892,77.1870734
43,AIIMS Interchange,28.5692246,77.2084649
44,Rajokri Flyover,28.5234233,77.0993995
45,Saraswati Vihar District Park,28.6995165,77.1234996
46,Tughlakabad Metro Station,28.5025684,77.2997423
47,Delhi Cantonment Metro Station,28.6081387,77.1407242
48,Motibagh Intersection,28.578624,77.176083
49,Mangolpuri Flyover Pillar Number 3-4,28.692916,77.100518
50,Haiderpur Water Treatment Plant,28.7185701,77.1398396
51,Mehrauli Badarpur Road Pul Prahladpur Police Station,28.501546,77.290722
52,Okhla Mod,28.505067,77.277722
53,Rawta Mod,28.600586,76.918146
54,Surajmal Metro Station,28.6818012,77.0740787
55,Najafgarh Stadium,28.6125025,76.9881043
56,Mahipalpur Flyover,28.5446703,77.1204114
57,Haiderpur Badli Metro Station,28.7304434,77.1490346
58,Todapur,28.6232465,77.1579442
59,Mundka,28.682542,77.027854
60,Shaheed Bhagat Singh Marg Flyover,28.614764,77.1074595
61,Delhi Gate Junction,28.640147,77.240874
62,Somnath Marg- Ghazipur Road,28.6594463,77.3199109
63,Lado Sarai Intersection,28.523406,77.190144
64,Mangolpuri Flyover Pillar Number 26-32,28.695088,77.108231
65,Kalindi Kunj Metro Station,28.5436394,77.3103229
66,Sarita Vihar Metro Station,28.527706,77.2894103
67,Naraina Vihar MG Road,28.6264118,77.1342846
68,Singhu Border,28.8505781,77.125897
69,Nawada Metro Station,28.6204462,77.0464384
70,Pushta Road Muskan Hospital,28.6944272,77.2546609
71,Brijwasan Road,28.5284319,77.0709928
72,Shaheed Captain Sameer Bhan Marg,28.5991978,77.3180691
73,Chandan Hola,28.4667356,77.1866619
74,Punjabi Bagh Terminal,28.6682225,77.136538
75,Gaushala Chowk,28.7146924,77.1770148
76,Shanidev Mandir near Hasanpur Depot,28.6360012,77.3091048
77,Okhla Gol Chakkar,28.5290117,77.2714138
78,Hamdard Institute Intersection,28.5118864,77.2518059
79,Ram Roop Tower,28.6764617,77.2024269
80,Tikri Border,28.687118,76.974317
81,Saket Metro Station,28.5191642,77.2088144
82,Akshardham Delhi Meerut Expressway,28.6102091,77.2801785
83,Intersection at Noida Link Road- Sahakarita Marg,28.596327,77.292609
84,Indraprastha Apollo Hospital,28.5403926,77.2821576
85,KV NTPC Badarpur,28.5083519,77.2995868
86,Haibutpur,28.6257682,76.968864
87,Paschim Vihar East Metro Pillar 185-195,28.6769467,77.1154152
88,Durgapuri Chowk,28.6893424,77.2919332
89,Swami Dayanand Marg Jagatpuri A-Block,28.6507921,77.2932058
90,Krishnlal Dutta Chowk,28.6379145,77.2233988
91,Sher Shah Suri Gate Mathura Road,28.6076579,77.2400234
92,Rao Tula Ram Marg West End Intersection,28.5723205,77.1618727
93,Samalkha Bus Stand,28.5334966,77.0896814
94,Maharaja Agrasen Marg IP Extension,28.6309503,77.3063132
95,Road 71 Yamuna Sports Complex,28.6658474,77.3123308
96,Abdul Gaffar Khan Marg-Vasant Valley School,28.5342429,77.1423319
97,FIEE Complex,28.5330904,77.2688395
98,Pusht Khurd,28.7696153,77.0495433
99,Bhole Shankar Mandir Burari Road,28.7550817,77.160419
100,Bhalswa Golf Course Entry,28.7384228,77.1693444
101,Mayur Vihar Flyover near Crown Plaza,28.588738,77.2969446
102,Narela Mandi Extension Intersection,28.8436733,77.0893865
103,Acharya Ganesh Shashtri Chowk,28.6522341,77.193772
104,APJ Abdul Kalam Chowk,28.5966148,77.1319866
105,Okhla Junction,28.557099,77.26979
106,Dilshad Garden Roundabout,28.6763333,77.3228487
107,Nand Nagri Ramlila Playground,28.6899132,77.3072342
108,Majnu Ka Tila Police Station,28.6966844,77.2271669
109,Lajpat Nagar Metro Station,28.570655,77.2363068
110,Near Paschim Vihar (West) Metro Station,28.6780625,77.1061289
111,LHMC Panchkuian Marg,28.635159,77.215866
112,Baba Banda Singh Bahadur Setu,28.579922,77.2250061
113,Chaudhary Charan Singh Marg Railway Flyover,28.653921,77.3196215
114,Swami Dayanang Marg Block E,28.6612299,77.2875199
115,NHAI Monument - Delhi Cantonment,28.585976,77.146856
116,Jharera Village,28.5794224,77.1448395
117,Subroto Park,28.57507,77.1475433
118,Lion Statues Point,28.5670857,77.1277837
119,Abdul Gaffar Khan Marg- Ryan International School,28.5375653,77.1385501
120,Sector 3 roundabout- Bawana Industrial Area,28.7899248,77.0527526
121,Bakhtawarpur Nirmal Hospital,28.8221079,77.1717718
122,Dadri Road Mayur Vihar Blue Line,28.603238,77.289064
123,Singhola Villlage GT Road Intersection,28.84161,77.1273551
124,Bankoli Village Intersection,28.8108541,77.1362143
125,Goswami Girdhari Lal Marg- Dev Prakash Shastri Marg,28.6405934,77.1447142
126,Loni Road- GT Road Intersection,28.675817,77.2924116
127,Jhilmil Colony Intersection,28.6761542,77.3162671
128,Yamuna Vihar Bus Stop,28.7027109,77.2723261
129,Sushruta Trauma Centre,28.6798501,77.2292048
130,South Extension Flyover,28.567809,77.2254587
131,Hauz Khas Metro Station,28.5435069,77.2087044
132,Indian Oil Tikri Bottling Plant,28.6852832,76.9947225
133,Sardar Patel Marg- Panchsheel Marg,28.6019719,77.1806424
134,Mithapur Chowk,28.5004202,77.3161006
135,Adchini T junction,28.5363054,77.1974124
136,Naveen Place,28.6276694,76.9672827
137,Shadipur Colony Intersection,28.6523255,77.1571096
138,Bharthal Roundabout,28.554715,77.05042
139,CDR Chowk,28.5079552,77.1768279
140,GTB Hospital Intersection,28.6827373,77.3122628
141,Road 64- Aradhak Marg,28.6931218,77.3272719
142,Khyber Pass Bus Stand,28.6896573,77.2212086
143,Kanjhawala Intersection,28.7376932,77.0075011
144,Azadpur Chowk,28.708058,77.177934
145,Azad Market Chowk,28.66423,77.208094
146,Bhairon Marg & Ring Road,28.62827778,77.24666111
147,"Kalkaji Mandir, Lal Kuan",28.549087,77.262422
148,Mahipal Pur R/A,28.546925,77.12419167
149,Munirka,28.5579,77.173049
150,Telco T Point,28.63639444,77.31436389
151,Chirag Delhi,28.541611,77.231858
152,"Appolo, New Friends Colony",28.560753,77.267158
153,Baraf Khana Chowk,28.66768056,77.20931944
154,Baba Kharak Singh Marg,28.627876,77.20876
155,BhajanPura Chowk,28.703478,77.264935
156,Bhinder Point,28.59602222,77.20744167
157,C V Raman Marg,28.56099722,77.27274444
158,CDR Chowk,28.505766,77.174618
159,"Chhata Rail,Chandni Chowk T Point",28.660225,77.23141944
160,Jhande walan,28.64663333,77.20508889
